text_index,medication,rate,comment
477,Entyvio (vedolizumab) for Crohn's Disease,5,I have been on it for a little over 1 year.My crohns is better but I now have Severe Liver disease.I had a ct scan 10 months ago with mild fatty liver.A recent ct scan revealed Severe Liver disease.I am so annoyed! Be sure to ask questions and do your research.I would have rather lived with crohns than with a ruined liver!
478,Entyvio (vedolizumab) for Ulcerative Colitis,1,"I thought Entyvio might have been the next best treatment, after I could no longer take Remicade and Humira. I started the injections in May and my ears started to bleed a week after the injection. After a month on the medication I have full body itching. Lastly, after five months on the medication I am also sneezing have patches of dark red angry rashes that are the size of a silver dollar. I would highly recommend close observation on this medication and speak to your doctor right away when any of these side effects occur. In my case they are only increasing with more exposure."
479,"Entyvio (vedolizumab) for Crohn's Disease, Maintenance",5,"Taking Entyvio every 8th week. Experiencing extreme fatique, tiredness, depression, lack of ""drive""/braintiredness. Sometimes I feel better for the last 2 to 3 weeks of the time-period.

Due to the Covid19 situation I had to wait an additional 2weeks for my dose in April and during this period all these side effects went away."
480,Entyvio (vedolizumab) for Crohn's Disease,5,"The positives: my bowel movements have slowed down considerably. I have not lost weight. Less gut pain and urgency to use toilet.

The negatives: I feel uncomfortably hot sometimes, fatigue (although I have to say I am getting iron infusions because I’m anemic) gas can be bad( take protonix, gasx and Xantac.) Was on prednisone when I started Entyvio. Prednisone is heaven to me, but it is difficult coming down. I am afraid of this very strong drug, but I developed anti-bodies to Humira. Skipped any treatment for weeks, and went into Crohns Hell. (I wanted to stop eating.) No problems during and after injections Did get a mother of a sinus infection when I got last Entyvio injection early. 6 instead of eight weeks. I am having my eight week injection soon. We’ll see. If this one doesn’t agree with me, that will be it.
But, I have to eat at least and not lose weight fast. I can drop 10 lbs just like that when my Crohns is active!"
481,Entyvio (vedolizumab) for Ulcerative Colitis,3,"After being allergic to all mesalamine drugs, remicade, and built up antibodies against Humira I was hopeful after my 4th treatment that I was finally in remission. Then the morning of my 5th treatment I go into the doctors office. About 15 minutes after my IV started I began to feel really light headed. I had a tight chest and my whole body felt heavy. This out of body feeling came over me and I was fixated on one spot of the room. Next thing I know I wake up to EMTs over me saying I had unresponsive pupils with hives. They said I was unresponsive to everyone around..I don't remember anything else until I got to the ER. If you start to feel dizzy-tell the nurse right away! Good luck to everyone."
482,Entyvio (vedolizumab) for Crohn's Disease,10,"Have been on entyvio for well over 2 years. Crohns is under control with last colonoscopy showing significant improvement in large intestine.
Have some pain now and then but nothing to stop me getting on with life.
Only side effect I've experienced is being a little tired in evening after infusion.
Fortunately for me I live in the UK and my treatment is covered by NHS."
483,Entyvio (vedolizumab) for Crohn's Disease,10,"Have been on entyvio for over a year,  without question it has saved my life. I struggled on and off for 30 years my last flare up was the worst,  unable to work or function outside the house for 3 years.  After a year I am 100 %  able to work and enjoy a normal life."
484,Entyvio (vedolizumab) for Ulcerative Colitis,2,"I have only had one infusion of entyvio.
12 hours after the infusion the pain started. 
Severe colic like pain. Shaking and trembling.
Huge swollen legs and feet which diuretics won't help.
Very unsteady on my feet loss of balance and joint pain.
They told me there was practically no side effects of this drug.
I have been deceived."
485,Entyvio (vedolizumab) for Ulcerative Colitis,8,"Neurologist told me Humira caused my chronic daily migraines so GI switched to Entyvio. I was already in remission due to Humira and 6 months later on Entyvio continue to be doing fine.  Other than a scratchy throat for the first couple of days after the infusion (and migraines gone!) I have experienced no other side effects. So far I am happy, however once I’ve been on it several years without a flare will truly determine if it is working."
486,Entyvio (vedolizumab) for Crohn's Disease,8,"I was on Remicade for several years. I recently switched over to Entyvio. It seemed to be helping, but the benefits only lasted about 6 weeks. My Dr just added Methotrexate to help boost the effectiveness. So far seems to be working better than Remicade.

That said, everyone and every case is different. It comes down to you working with your doctor(s) to find the best plan for you. Don't give up, keep trying."
487,Entyvio (vedolizumab) for Ulcerative Colitis,6,"Have been on vedolizimab for over 2 years now and it has been amazing at eliminating all gut-related symptoms (I have Ulcerative Colitis). But Over the 6 months or so though, I've been experiencing weird and horrendous neurological symptoms.  Tingling, crawling and burning as well pain and weakness. Seriously considering trying a new drug."
488,Entyvio (vedolizumab) for Ulcerative Colitis,4,"I haven't been able to tolerate any drug during the 5 years I have been officially flaring and diagnosed with UC. Despite this I know I had this nasty thing for the past 20 years. To put it plainly, Humira worked for 2 months, then failed. Now Entyvio worked for 1 month maybe and seems to be placebo now. I oscillate between very bad bloating and constipation and then diarrhea. Since on Entyvio I am unable to sleep laying down from the pain, and I have no ability to form a normal stool - it's either Diarrhea or it's pencil thin or pebble like. I do not feel like this medicine works and is just another step in the long journey toward surgery. I hear how biologics help people but I remain unconvinced."
489,Entyvio (vedolizumab) for Crohn's Disease,10,"I've been on Entyvio for aggressive Crohn's for 3.5 years and it has been great. It has erased my Crohn's symptoms completely. However, I want to switch to something that doesn't interfere with the immune systems as I have had Chronic Fatigue Syndrome for 4.5 years and can't exercise without getting sick for days. I think that there is a connection to biologics and CFS, which is my cause appears to be caused by the Epstein-barr virus. Lowered immune system, latent virus becomes activated etc."
